Stim	HueR	HueG	HueB	HueC	HueCT	HueLux	Yellow	Red	Green	Trig
4	1805	1261	720	3884	2910	877.0	2400	0	444	1
4	1805	1260	720	3883	2910	875.0	2400	0	444	1
4	1805	1261	720	3883	2910	877.0	2400	0	444	1
4	1805	1261	720	3884	2910	877.0	2400	0	444	1
4	1805	1261	720	3883	2910	877.0	2400	0	444	1
4	1812	1265	722	3896	2909	879.0	2400	0	444	1
4	1805	1260	719	3882	2908	876.0	2400	0	444	1
4	1805	1261	720	3884	2910	877.0	2400	0	444	1
4	1805	1260	719	3881	2908	876.0	2400	0	444	1
4	1816	1267	723	3905	2907	881.0	2400	0	444	1
4	1861	1291	732	3984	2889	897.0	2400	0	444	1
4	1862	1292	733	3987	2890	898.0	2400	0	444	1
4	1861	1291	732	3984	2889	897.0	2400	0	444	1
4	1855	1288	731	3973	2892	895.0	2400	0	444	1
4	1861	1291	731	3984	2887	898.0	2400	0	444	1
4	1861	1292	731	3986	2887	900.0	2400	0	444	1
4	1860	1293	733	3986	2892	900.0	2400	0	444	0
4	717	657	474	1900	3909	457.0	2400	0	444	0
4	333	446	389	1206	5841	311.0	2400	0	444	0
4	330	444	387	1198	5859	310.0	2400	0	444	0
4	333	447	390	1207	5853	311.0	2400	0	444	0
5	331	444	387	1199	5845	310.0	2400	355	222	1
5	668	579	446	1738	3934	370.0	2400	355	222	1
5	2016	1108	671	3868	2659	603.0	2400	355	222	1
5	2016	1110	673	3873	2662	604.0	2400	355	222	1
5	2014	1107	671	3866	2660	602.0	2400	355	222	1
5	2016	1110	673	3873	2662	604.0	2400	355	222	1
5	2014	1107	671	3865	2660	602.0	2400	355	222	1
5	2016	1110	673	3874	2662	604.0	2400	355	222	1
5	2006	1104	669	3852	2661	601.0	2400	355	222	1
5	2017	1110	673	3874	2662	604.0	2400	355	222	1
5	2012	1106	670	3862	2659	602.0	2400	355	222	1
5	1954	1086	663	3774	2683	594.0	2400	355	222	1
5	1959	1086	662	3779	2678	593.0	2400	355	222	1
5	1952	1083	660	3768	2679	592.0	2400	355	222	1
5	1954	1085	663	3774	2683	592.0	2400	355	222	1
5	1959	1086	662	3780	2678	593.0	2400	355	222	1
5	1954	1085	663	3774	2683	592.0	2400	355	222	1
5	1953	1084	661	3769	2680	593.0	2400	355	222	1
5	1954	1085	662	3774	2681	593.0	2400	355	222	1
5	1953	1084	661	3769	2680	593.0	2400	355	222	1
5	1954	1085	662	3773	2681	593.0	2400	355	222	1
5	1967	1090	663	3792	2675	596.0	2400	355	222	1
5	2014	1109	672	3868	2662	604.0	2400	355	222	1
5	2016	1109	672	3871	2661	604.0	2400	355	222	1
5	2013	1108	672	3867	2662	603.0	2400	355	222	1
5	2017	1109	672	3872	2660	603.0	2400	355	222	1
5	2012	1108	671	3865	2661	604.0	2400	355	222	1
5	2017	1109	672	3871	2660	603.0	2400	355	222	1
5	2013	1107	671	3864	2661	602.0	2400	355	222	1
5	2016	1109	672	3870	2661	604.0	2400	355	222	1
5	2014	1108	671	3866	2660	603.0	2400	355	222	1
5	2007	1105	670	3855	2662	602.0	2400	355	222	1
5	1953	1085	662	3772	2682	593.0	2400	355	222	1
5	1953	1084	661	3769	2680	593.0	2400	355	222	1
5	1954	1085	662	3773	2681	593.0	2400	355	222	1
5	1960	1086	662	3780	2677	593.0	2400	355	222	1
5	1954	1085	662	3773	2681	593.0	2400	355	222	1
5	1952	1083	661	3768	2681	591.0	2400	355	222	1
5	1954	1085	663	3774	2683	592.0	2400	355	222	1
5	1952	1083	661	3768	2681	591.0	2400	355	222	1
5	1954	1086	663	3774	2683	594.0	2400	355	222	1
5	1952	1083	661	3767	2681	591.0	2400	355	222	1
5	1954	1085	662	3774	2681	593.0	2400	355	222	1
5	1952	1083	660	3767	2679	592.0	2400	355	222	1
5	2018	1110	673	3874	2661	604.0	2400	355	222	1
5	2011	1106	670	3861	2660	602.0	2400	355	222	0
5	2019	1111	673	3876	2661	605.0	2400	355	222	0
5	3629	1743	943	6421	2381	882.0	2400	355	222	0
5	3634	1746	946	6433	2382	883.0	2400	355	222	0
5	3632	1746	946	6418	2383	884.0	2400	355	222	0
6	3628	1742	943	6420	2381	881.0	2400	711	0	1
6	2414	1266	740	4501	2558	672.0	2400	711	0	1
6	2236	995	655	3919	2507	365.0	2400	711	0	1
6	2238	998	657	3928	2509	367.0	2400	711	0	1
6	2261	1002	658	3956	2499	365.0	2400	711	0	1
6	2308	1018	667	4028	2492	369.0	2400	711	0	1
6	2312	1017	665	4028	2486	367.0	2400	711	0	1
6	2309	1018	667	4029	2491	368.0	2400	711	0	1
6	2309	1016	665	4025	2488	367.0	2400	711	0	1
6	2303	1016	667	4019	2494	367.0	2400	711	0	1
6	2308	1016	665	4024	2488	367.0	2400	711	0	1
6	2312	1019	668	4032	2491	368.0	2400	711	0	1
6	2307	1015	665	4021	2489	366.0	2400	711	0	1
6	2313	1019	668	4033	2491	368.0	2400	711	0	1
6	2306	1015	665	4021	2489	366.0	2400	711	0	1
6	2313	1019	668	4034	2491	368.0	2400	711	0	1
6	2236	995	655	3921	2507	365.0	2400	711	0	1
6	2238	997	657	3927	2509	366.0	2400	711	0	1
6	2238	997	657	3927	2509	366.0	2400	711	0	1
6	2237	996	656	3922	2508	365.0	2400	711	0	1
6	2238	997	657	3926	2509	366.0	2400	711	0	1
6	2237	996	656	3923	2508	365.0	2400	711	0	1
6	2238	997	657	3926	2509	366.0	2400	711	0	1
6	2237	996	656	3922	2508	365.0	2400	711	0	1
6	2238	997	657	3925	2509	366.0	2400	711	0	1
6	2245	998	657	3935	2505	365.0	2400	711	0	1
6	2238	997	656	3925	2507	366.0	2400	711	0	1
6	2312	1018	667	4031	2490	367.0	2400	711	0	1
6	2310	1017	666	4027	2489	367.0	2400	711	0	1
6	2301	1015	665	4016	2492	368.0	2400	711	0	1
6	2310	1017	666	4027	2489	367.0	2400	711	0	1
6	2308	1017	666	4026	2490	368.0	2400	711	0	1
6	2311	1017	666	4028	2488	367.0	2400	711	0	1
6	2299	1014	665	4013	2493	367.0	2400	711	0	1
6	2312	1017	666	4030	2488	367.0	2400	711	0	1
6	2307	1017	666	4024	2490	368.0	2400	711	0	1
6	2308	1017	667	4026	2492	367.0	2400	711	0	1
6	2288	1010	663	3995	2495	366.0	2400	711	0	1
6	2238	997	657	3926	2509	366.0	2400	711	0	1
6	2237	995	655	3922	2506	364.0	2400	711	0	1
6	2238	997	657	3927	2509	366.0	2400	711	0	1
6	2237	995	655	3921	2506	364.0	2400	711	0	1
6	2238	997	657	3927	2509	366.0	2400	711	0	1
6	2236	995	655	3921	2507	365.0	2400	711	0	1
6	2238	997	657	3927	2509	366.0	2400	711	0	1
6	2245	997	656	3933	2504	364.0	2400	711	0	0
6	2238	998	657	3928	2509	367.0	2400	711	0	0
6	331	444	387	1199	5845	310.0	2400	711	0	0
6	332	446	389	1206	5855	311.0	2400	711	0	0
6	330	444	387	1198	5859	310.0	2400	711	0	0
7	332	446	389	1206	5855	311.0	2400	0	666	1
7	330	444	387	1198	5859	310.0	2400	0	666	1
7	1832	1461	806	4202	3067	1121.0	2400	0	666	1
7	1835	1463	806	4206	3064	1123.0	2400	0	666	1
7	1828	1458	804	4194	3066	1119.0	2400	0	666	1
7	1830	1461	807	4202	3071	1121.0	2400	0	666	1
7	1828	1458	804	4193	3066	1119.0	2400	0	666	1
7	1830	1461	807	4202	3071	1121.0	2400	0	666	1
7	1828	1458	804	4194	3066	1119.0	2400	0	666	1
7	1831	1462	807	4203	3070	1122.0	2400	0	666	1
7	1878	1495	819	4298	3052	1150.0	2400	0	666	1
7	1889	1500	822	4318	3048	1152.0	2400	0	666	1
7	1883	1497	820	4306	3050	1151.0	2400	0	666	1
7	1890	1500	823	4319	3050	1151.0	2400	0	666	1
7	1884	1498	820	4308	3049	1152.0	2400	0	666	1
7	1888	1499	822	4316	3049	1151.0	2400	0	666	1
7	1886	1499	821	4311	3049	1152.0	2400	0	666	1
7	1886	1500	823	4315	3053	1152.0	2400	0	666	1
7	1887	1497	820	4311	3046	1150.0	2400	0	666	1
7	1879	1496	821	4301	3055	1150.0	2400	0	666	1
7	1887	1497	820	4310	3046	1150.0	2400	0	666	1
7	1866	1485	816	4272	3057	1140.0	2400	0	666	1
7	1837	1466	808	4195	3066	1126.0	2400	0	666	1
7	1829	1459	805	4196	3067	1119.0	2400	0	666	1
7	1830	1461	806	4201	3069	1121.0	2400	0	666	1
7	1828	1459	804	4194	3066	1120.0	2400	0	666	1
7	1836	1465	808	4213	3067	1124.0	2400	0	666	1
7	1828	1458	804	4194	3066	1119.0	2400	0	666	1
7	1830	1460	806	4199	3069	1120.0	2400	0	666	1
7	1828	1458	804	4194	3066	1119.0	2400	0	666	1
7	1829	1460	806	4198	3069	1120.0	2400	0	666	1
7	1828	1459	804	4195	3066	1120.0	2400	0	666	1
7	1885	1499	822	4311	3052	1152.0	2400	0	666	1
7	1888	1497	820	4311	3045	1149.0	2400	0	666	1
7	1886	1499	822	4312	3051	1152.0	2400	0	666	1
7	1886	1497	820	4309	3047	1150.0	2400	0	666	1
7	1887	1500	822	4315	3050	1153.0	2400	0	666	1
7	1885	1497	821	4308	3050	1149.0	2400	0	666	1
7	1888	1498	821	4314	3047	1150.0	2400	0	666	1
7	1883	1496	820	4306	3050	1149.0	2400	0	666	1
7	1888	1498	821	4313	3047	1150.0	2400	0	666	1
7	1886	1498	821	4310	3049	1151.0	2400	0	666	1
7	1881	1495	820	4302	3051	1148.0	2400	0	666	1
7	1829	1460	805	4198	3067	1121.0	2400	0	666	1
7	1830	1460	806	4199	3069	1120.0	2400	0	666	1
7	1829	1460	805	4197	3067	1121.0	2400	0	666	0
7	2323	1795	943	5186	2937	1388.0	2400	0	666	0
7	3376	2509	1237	7293	2787	1958.0	2400	0	666	0
7	3379	2509	1237	7296	2785	1957.0	2400	0	666	0
7	3377	2509	1237	7293	2786	1958.0	2400	0	666	0
8	3378	2509	1237	7294	2786	1958.0	2400	355	444	1
8	3377	2509	1237	7294	2786	1958.0	2400	355	444	1
8	2008	1338	766	4197	2844	899.0	2400	355	444	1
8	2039	1301	753	4172	2798	840.0	2400	355	444	1
8	2020	1293	750	4142	2805	836.0	2400	355	444	1
8	1975	1269	739	4060	2816	820.0	2400	355	444	1
8	1977	1271	741	4066	2819	821.0	2400	355	444	1
8	1975	1268	738	4058	2814	820.0	2400	355	444	1
8	1976	1271	740	4064	2817	822.0	2400	355	444	1
8	1976	1271	740	4064	2817	822.0	2400	355	444	1
8	1974	1268	738	4057	2815	820.0	2400	355	444	1
8	1976	1270	740	4064	2817	821.0	2400	355	444	1
8	1982	1271	740	4070	2813	821.0	2400	355	444	1
8	1976	1271	741	4065	2819	822.0	2400	355	444	1
8	1974	1268	738	4057	2815	820.0	2400	355	444	1
8	2043	1303	754	4178	2797	841.0	2400	355	444	1
8	2035	1298	751	4162	2797	838.0	2400	355	444	1
8	2041	1302	754	4176	2798	840.0	2400	355	444	1
8	2035	1299	751	4164	2797	839.0	2400	355	444	1
8	2040	1302	754	4175	2799	840.0	2400	355	444	1
8	2029	1296	750	4153	2799	837.0	2400	355	444	1
8	2039	1302	754	4173	2799	841.0	2400	355	444	1
8	2038	1300	752	4168	2796	839.0	2400	355	444	1
8	2038	1301	754	4171	2800	839.0	2400	355	444	1
8	2039	1300	752	4168	2796	839.0	2400	355	444	1
8	2036	1302	754	4171	2801	842.0	2400	355	444	1
8	2040	1299	751	4169	2793	838.0	2400	355	444	1
8	1975	1268	738	4057	2814	820.0	2400	355	444	1
8	1977	1271	741	4065	2819	821.0	2400	355	444	1
8	1974	1268	738	4057	2815	820.0	2400	355	444	1
8	1976	1270	740	4064	2817	821.0	2400	355	444	1
8	1974	1267	738	4056	2815	818.0	2400	355	444	1
8	1976	1270	740	4064	2817	821.0	2400	355	444	1
8	1974	1268	738	4057	2815	820.0	2400	355	444	1
8	1976	1270	740	4064	2817	821.0	2400	355	444	1
8	1975	1268	738	4058	2814	820.0	2400	355	444	1
8	1984	1274	742	4078	2815	823.0	2400	355	444	1
8	1997	1280	743	4098	2808	828.0	2400	355	444	1
8	2041	1302	754	4176	2798	840.0	2400	355	444	1
8	2036	1300	752	4166	2798	840.0	2400	355	444	1
8	2033	1298	752	4161	2800	838.0	2400	355	444	1
8	2037	1300	752	4168	2797	840.0	2400	355	444	1
8	2039	1301	753	4171	2798	840.0	2400	355	444	1
8	2038	1300	752	4169	2796	839.0	2400	355	444	1
8	2030	1298	752	4158	2802	839.0	2400	355	444	1
8	2036	1301	753	4170	2800	841.0	2400	355	444	0
8	602	579	445	1668	4207	392.0	2400	355	444	0
8	332	445	389	1203	5855	309.0	2400	355	444	0
8	331	444	388	1200	5857	309.0	2400	355	444	0
8	332	445	389	1203	5855	309.0	2400	355	444	0
9	331	444	388	1200	5857	309.0	2400	711	222	1
9	916	643	481	2078	3391	365.0	2400	711	222	1
9	2322	1118	704	4182	2546	495.0	2400	711	222	1
9	2325	1119	705	4186	2546	495.0	2400	711	222	1
9	2321	1117	704	4179	2546	494.0	2400	711	222	1
9	2326	1119	705	4187	2545	495.0	2400	711	222	1
9	2312	1115	702	4166	2547	495.0	2400	711	222	1
9	2326	1119	705	4187	2545	495.0	2400	711	222	1
9	2320	1118	704	4180	2547	496.0	2400	711	222	1
9	2326	1119	705	4187	2545	495.0	2400	711	222	1
9	2251	1094	693	4075	2563	488.0	2400	711	222	1
9	2250	1094	693	4073	2564	489.0	2400	711	222	1
9	2250	1094	693	4075	2564	489.0	2400	711	222	1
9	2250	1094	693	4073	2564	489.0	2400	711	222	1
9	2250	1094	692	4072	2562	489.0	2400	711	222	1
9	2250	1094	693	4075	2564	489.0	2400	711	222	1
9	2250	1093	692	4072	2562	488.0	2400	711	222	1
9	2250	1095	693	4075	2564	490.0	2400	711	222	1
9	2249	1093	692	4072	2563	488.0	2400	711	222	1
9	2251	1095	693	4076	2563	490.0	2400	711	222	1
9	2283	1105	698	4123	2555	492.0	2400	711	222	1
9	2314	1117	704	4172	2550	496.0	2400	711	222	1
9	2324	1118	704	4183	2545	494.0	2400	711	222	1
9	2321	1119	705	4182	2548	496.0	2400	711	222	1
9	2326	1118	704	4185	2544	494.0	2400	711	222	1
9	2321	1119	705	4182	2548	496.0	2400	711	222	1
9	2324	1118	704	4183	2545	494.0	2400	711	222	1
9	2323	1120	705	4185	2547	497.0	2400	711	222	1
9	2322	1117	703	4179	2544	494.0	2400	711	222	1
9	2325	1120	705	4187	2546	496.0	2400	711	222	1
9	2312	1114	702	4164	2547	493.0	2400	711	222	1
9	2326	1120	706	4189	2547	495.0	2400	711	222	1
9	2251	1095	694	4077	2565	489.0	2400	711	222	1
9	2257	1095	693	4082	2560	488.0	2400	711	222	1
9	2251	1095	694	4077	2565	489.0	2400	711	222	1
9	2249	1092	691	4069	2561	487.0	2400	711	222	1
9	2251	1095	694	4078	2565	489.0	2400	711	222	1
9	2257	1095	693	4083	2560	488.0	2400	711	222	1
9	2251	1096	694	4078	2565	491.0	2400	711	222	1
9	2249	1092	692	4070	2563	486.0	2400	711	222	1
9	2251	1095	694	4078	2565	489.0	2400	711	222	1
9	2249	1092	691	4070	2561	487.0	2400	711	222	1
9	2251	1096	694	4078	2565	491.0	2400	711	222	1
9	2325	1118	703	4183	2543	495.0	2400	711	222	1
9	2324	1120	706	4186	2548	496.0	2400	711	222	1
9	2322	1117	703	4179	2544	494.0	2400	711	222	0
9	2325	1120	706	4188	2547	496.0	2400	711	222	0
9	4235	1763	1007	7041	2296	670.0	2400	711	222	0
9	4239	1767	1010	7052	2298	673.0	2400	711	222	0
9	4232	1762	1007	7037	2297	670.0	2400	711	222	0
10	4232	1762	1007	7035	2297	670.0	2400	1066	0	1
10	2616	1217	752	4621	2486	521.0	2400	1066	0	1
10	2528	1003	685	4216	2423	261.0	2400	1066	0	1
10	2575	1018	694	4286	2417	262.0	2400	1066	0	1
10	2613	1025	697	4333	2406	259.0	2400	1066	0	1
10	2612	1028	699	4338	2410	262.0	2400	1066	0	1
10	2614	1026	697	4335	2405	260.0	2400	1066	0	1
10	2601	1024	697	4321	2411	261.0	2400	1066	0	1
10	2616	1025	697	4336	2405	258.0	2400	1066	0	1
10	2610	1026	698	4333	2409	261.0	2400	1066	0	1
10	2616	1026	697	4336	2405	259.0	2400	1066	0	1
10	2612	1027	699	4335	2409	261.0	2400	1066	0	1
10	2615	1026	697	4335	2405	260.0	2400	1066	0	1
10	2613	1027	699	4337	2409	261.0	2400	1066	0	1
10	2612	1025	697	4333	2407	259.0	2400	1066	0	1
10	2540	1009	689	4237	2424	263.0	2400	1066	0	1
10	2528	1004	685	4217	2423	262.0	2400	1066	0	1
10	2530	1006	687	4222	2425	263.0	2400	1066	0	1
10	2530	1006	687	4217	2422	263.0	2400	1066	0	1
10	2529	1004	686	4218	2424	261.0	2400	1066	0	1
10	2530	1005	687	4222	2425	262.0	2400	1066	0	1
10	2529	1004	686	4217	2423	261.0	2400	1066	0	1
10	2530	1005	687	4221	2425	262.0	2400	1066	0	1
10	2538	1007	687	4232	2422	262.0	2400	1066	0	1
10	2530	1006	687	4222	2425	263.0	2400	1066	0	1
10	2529	1004	686	4219	2424	261.0	2400	1066	0	1
10	2612	1027	698	4336	2409	262.0	2400	1066	0	1
